Metric,Reference,Matched
Throughput (items/unit time),1.21,1.26
Cycle time (sec),67.5436,74.39
Utilisation (sec),,
M04,"[4715.5693, 4507.4559, 773.0884, 3.8863]","[4407.5248, 4854.9042, 734.8431, 2.7279]"
M05,"[8678.4315, 1321.5172]","[8614.6410, 1385.3590]"
M11,"[2854.5276, 7145.4724]","[71.7123, 9928.2877]"
M14,"[7001.3067, 2998.6933, 7.2316, 0.0000]","[7123.9610, 2611.7017, 263.6909, 0.6464]"
M15,"[9320.1861, 679.8139]","[9221.9614, 778.0386]"
M21,"[1494.9901, 8464.2448, 40.7650]","[39.8476, 9960.1524, 1122.3166]"
M24,"[2210.3083, 7592.5015, 167.6244]","[44.4237, 472.4820, 1137.5060, 8345.5883]"
M25,"[6860.4930, 2034.1242, 1105.3828]","[103.5088, 9896.4913]"
M27,"[7578.5660, 2181.3959, 240.0381]","[6207.5894, 3792.4106]"
M34,"[4735.2383, 5264.7617, 756.9574, 3.8285]","[4391.9312, 4965.6738, 639.0932, 3.3017]"
M35,"[8674.9519, 1310.8371, 14.2110]","[8612.5920, 1387.4080]"
M37,"[5811.4629, 2598.7102, 1589.8269]","[2505.3141, 7494.6859]"
M44,"[4565.5946, 5316.0768, 118.3286, 0.0000]","[3868.0705, 4734.1739, 729.1511, 668.6044]"
M45,"[7778.0388, 1408.1148, 813.8465]","[6265.3406, 3734.6594]"
M54,"[4723.7644, 5276.2356, 6.4066, 0.0000]","[4305.4238, 4984.8969, 707.5012, 2.1781]"
M55,"[3654.0828, 2051.6278, 4294.2894]","[3105.7948, 6894.2052]"
M64,"[4646.6714, 5353.3286, 1.1651, 0.0000]","[4273.5264, 5102.7297, 622.2697, 1.4741]"
M65,"[8607.1239, 1391.3132, 1.5629]","[8564.6020, 1435.3980]"
M74,"[3338.7758, 5382.4326, 1278.7916, 0.0000]","[4078.5027, 4770.4278, 825.3943, 325.6752]"
M75,"[8906.6501, 1093.3499, 0.0000]","[8625.2504, 1374.7496]"
M84,"[51.4663, 5156.3449, 4792.1888]","[1962.0590, 2947.3192, 1145.4670, 3945.1548]"
M85,"[45.9159, 1582.0106, 8372.0735]","[2613.6613, 7386.3387]"
M86,"[21.3500, 7165.3986, 2813.2513]","[802.5505, 9197.4495]"
M94,"[4753.3315, 5246.6685, 0.0000, 0.0000]","[4447.4423, 4920.5581, 627.3141, 4.6855]"
M95,"[8057.0778, 1392.7504, 550.1718]","[8247.8055, 1752.1945]"
M96,"[372.9439, 9627.0561, 0.0000]","[323.3307, 9676.6693]"
Buffer avg occupancy,,
B\_03\_04,0.0000,0.0000
B\_04\_05\_1,0.0000,0.0002184
B\_04\_05\_2,0.0000,0.0008748
B\_04\_05\_3,0.0000,0.0008166
B\_04\_05\_4,0.0000,0.0005432
B\_05\_06,1.9886,0.1702856
B\_10\_11,0.4793,1.9423
B\_11\_12,0.0000,0.0022283
B\_13\_14,1.0205,0.0000
B\_14\_15\_1,0.3725,0.0001397
B\_14\_15\_2,0.4562,0.0011319
B\_14\_15\_3,0.9291,0.0009756
B\_14\_15\_4,3.8694,0.0005729
B\_15\_16,1.9876,0.0533286
B\_20\_21,0.7417,1.1667
B\_21\_22,0.01897,0.9999
B\_23\_24,1.0852,1.1799
B\_24\_25\_1,0.3746,0.1820
B\_24\_25\_2,0.4528,0.7709
B\_24\_25\_3,0.9144,2.4437
B\_24\_25\_4,3.8580,3.8892
B\_25\_26,1.9838,1.9848
B\_26\_27,0.03776,0.2692
B\_27\_28,0.000212,0.03928
B\_33\_34,0.9795,0.0000
B\_34\_35\_1,0.3764,0.0001239
B\_34\_35\_2,0.4651,0.0027087
B\_34\_35\_3,0.9621,0.0010240
B\_34\_35\_4,3.8294,0.0004695
B\_35\_36,1.9818,0.15495
B\_43\_44,1.0252,0.09642
B\_44\_45\_1,0.3699,0.07573
B\_44\_45\_2,0.4452,0.19698
B\_44\_45\_3,0.9149,0.38952
B\_44\_45\_4,3.8457,0.30300
B\_45\_46,1.9853,0.07987
B\_53\_54,1.0176,0.0000
B\_54\_55\_1,0.3756,0.05432
B\_54\_55\_2,0.4526,0.19569
B\_54\_55\_3,0.9176,0.19908
B\_54\_55\_4,3.8140,0.08046
B\_55\_56,1.9896,1.5833
B\_63\_64,1.0132,0.0000
B\_64\_65\_1,0.3746,0.0005418
B\_64\_65\_2,0.4561,0.0009804
B\_64\_65\_3,0.9076,0.0012548
B\_64\_65\_4,3.8346,0.0012110
B\_65\_66,1.9857,0.15731
B\_73\_74,1.0160,0.04682
B\_74\_75\_1,0.3792,0.0009153
B\_74\_75\_2,0.4521,0.0034449
B\_74\_75\_3,0.9193,0.0110858
B\_74\_75\_4,3.8028,0.0032364
B\_75\_76,1.9777,0.16259
B\_83\_84,0.9985,0.57909
B\_84\_85\_1,0.3745,0.18960
B\_84\_85\_2,0.4599,0.58658
B\_84\_85\_3,0.9389,1.55765
B\_84\_85\_4,3.8553,2.14417
B\_85\_86,1.9864,1.51233
B\_93\_94,0.7041,0.0000
B\_94\_95\_1,0.3706,0.0003388
B\_94\_95\_2,0.4308,0.0023305
B\_94\_95\_3,0.7797,0.0024307
B\_94\_95\_4,3.8738,0.0011972
B\_95\_96,1.9894,0.91401
BA\_11\_21,0.9950,1.79150
BA\_27\_37,0.1412,0.73164
BA\_45\_55,0.4750,0.75628
BA\_74\_84,1.29566,0.25240
BA\_86\_96,1.28989,1.30438